perc1;perc2;succ
30; 10; 0
30; 11; 0
30; 12; 0
30; 13; 0
30; 14; 0
30; 15; 0
30; 16; 0
30; 17; 0
30; 18; 0
30; 19; 0
30; 20; 0
30; 21; 0
30; 22; 0
30; 23; 0
30; 24; 0
30; 25; 0
30; 26; 0
30; 27; 0
30; 28; 0
30; 29; 0
30; 30; 0
30; 31; 0
30; 32; 0
30; 33; 0
30; 34; 0
30; 35; 0
30; 36; 0
30; 37; 0
30; 38; 0
30; 39; 0
30; 40; 0
30; 41; 0
30; 42; 0
30; 43; 0
30; 44; 0
30; 45; 0
30; 46; 0
30; 47; 0
30; 48; 0
30; 49; 0
30; 50; 0
30; 51; 0
30; 52; 0
30; 53; 0
30; 54; 0
30; 55; 0
30; 56; 0
30; 57; 0
30; 58; 0
30; 59; 0
30; 60; 0
30; 61; 0
30; 62; 0
30; 63; 0
30; 64; 0
30; 65; 0
30; 66; 0
30; 67; 0
30; 68; 0
30; 69; 0
30; 70; 0
31; 0; 0
31; 1; 0
31; 2; 0
31; 3; 0
31; 4; 0
31; 5; 0
31; 6; 0
31; 7; 0
31; 8; 0
31; 9; 0
31; 10; 0
31; 11; 0
31; 12; 0
31; 13; 0
31; 14; 0
31; 15; 0
31; 16; 0
31; 17; 0
31; 18; 0
31; 19; 0
31; 20; 0
31; 21; 0
31; 22; 0
31; 23; 0
31; 24; 0
31; 25; 0
31; 26; 0
31; 27; 0
31; 28; 0
31; 29; 0
31; 30; 0
31; 31; 0
31; 32; 0
31; 33; 0
31; 34; 0
31; 35; 0
31; 36; 0
31; 37; 0
31; 38; 0
31; 39; 0
31; 40; 0
31; 41; 0
31; 42; 0
31; 43; 0
31; 44; 0
31; 45; 0
31; 46; 0
31; 47; 0
31; 48; 0
31; 49; 0
31; 50; 0
31; 51; 0
31; 52; 0
31; 53; 0
31; 54; 0
31; 55; 0
31; 56; 0
31; 57; 0
31; 58; 0
31; 59; 0
31; 60; 0
31; 61; 0
31; 62; 0
31; 63; 0
31; 64; 0
31; 65; 0
31; 66; 0
31; 67; 0
31; 68; 0
31; 69; 0
32; 0; 0
32; 1; 0
32; 2; 0
32; 3; 0
32; 4; 0
32; 5; 0
32; 6; 0
32; 7; 0
32; 8; 0
32; 9; 0
32; 10; 0
32; 11; 0
32; 12; 0
32; 13; 0
32; 14; 0
32; 15; 0
32; 16; 0
32; 17; 0
32; 18; 0
32; 19; 0
32; 20; 0
32; 21; 0
32; 22; 0
32; 23; 0
32; 24; 0
32; 25; 0
32; 26; 0
32; 27; 0
32; 28; 0
32; 29; 0
32; 30; 0
32; 31; 0
32; 32; 0
32; 33; 0
32; 34; 0
32; 35; 0
32; 36; 0
32; 37; 0
32; 38; 0
32; 39; 0
32; 40; 0
32; 41; 0
32; 42; 0
32; 43; 0
32; 44; 0
32; 45; 0
32; 46; 0
32; 47; 0
32; 48; 0
32; 49; 0
32; 50; 0
32; 51; 0
32; 52; 0
32; 53; 0
32; 54; 0
32; 55; 0
32; 56; 0
32; 57; 0
32; 58; 0
32; 59; 0
32; 60; 0
32; 61; 0
32; 62; 0
32; 63; 0
32; 64; 0
32; 65; 0
32; 66; 0
32; 67; 0
32; 68; 0
33; 0; 0
33; 1; 0
33; 2; 0
33; 3; 0
33; 4; 0
33; 5; 0
33; 6; 0
33; 7; 0
33; 8; 0
33; 9; 0
33; 10; 0
33; 11; 0
33; 12; 0
33; 13; 0
33; 14; 0
33; 15; 0
33; 16; 0
33; 17; 0
33; 18; 0
33; 19; 0
33; 20; 0
33; 21; 0
33; 22; 0
33; 23; 0
33; 24; 0
33; 25; 0
33; 26; 0
33; 27; 0
33; 28; 0
33; 29; 0
33; 30; 0
33; 31; 0
33; 32; 0
33; 33; 0
33; 34; 0
33; 35; 0
33; 36; 0
33; 37; 0
33; 38; 0
33; 39; 0
33; 40; 0
33; 41; 0
33; 42; 0
33; 43; 0
33; 44; 0
33; 45; 0
33; 46; 0
33; 47; 0
33; 48; 0
33; 49; 0
33; 50; 0
33; 51; 0
33; 52; 0
33; 53; 0
33; 54; 0
33; 55; 0
33; 56; 0
33; 57; 0
33; 58; 0
33; 59; 0
33; 60; 0
33; 61; 0
33; 62; 0
33; 63; 0
33; 64; 0
33; 65; 0
33; 66; 0
33; 67; 0
34; 0; 0
34; 1; 0
34; 2; 0
34; 3; 0
34; 4; 0
34; 5; 0
34; 6; 0
34; 7; 0
34; 8; 0
34; 9; 0
34; 10; 0
34; 11; 0
34; 12; 0
34; 13; 0
34; 14; 0
34; 15; 0
34; 16; 0
34; 17; 0
34; 18; 0
34; 19; 0
34; 20; 0
34; 21; 0
34; 22; 0
34; 23; 0
34; 24; 0
34; 25; 0
34; 26; 0
34; 27; 0
34; 28; 0
34; 29; 0
34; 30; 0
34; 31; 0
34; 32; 0
34; 33; 0
34; 34; 0
34; 35; 0
34; 36; 0
34; 37; 0
34; 38; 0
34; 39; 0
34; 40; 0
34; 41; 0
34; 42; 0
34; 43; 0
34; 44; 0
34; 45; 0
34; 46; 0
34; 47; 0
34; 48; 0
34; 49; 0
34; 50; 0
34; 51; 0
34; 52; 0
34; 53; 0
34; 54; 0
34; 55; 0
34; 56; 0
34; 57; 0
34; 58; 0
34; 59; 0
34; 60; 0
34; 61; 0
34; 62; 0
34; 63; 0
34; 64; 0
34; 65; 0
34; 66; 0
35; 0; 0
35; 1; 0
35; 2; 0
35; 3; 0
35; 4; 0
35; 5; 0
35; 6; 0
35; 7; 0
35; 8; 0
35; 9; 0
35; 10; 0
35; 11; 0
35; 12; 0
35; 13; 0
35; 14; 0
35; 15; 0
35; 16; 0
35; 17; 0
35; 18; 0
35; 19; 0
35; 20; 0
35; 21; 0
35; 22; 0
35; 23; 0
35; 24; 0
35; 25; 0
35; 26; 0
35; 27; 0
35; 28; 0
35; 29; 0
35; 30; 0
35; 31; 0
35; 32; 0
35; 33; 0
35; 34; 0
35; 35; 0
35; 36; 0
35; 37; 0
35; 38; 0
35; 39; 0
35; 40; 0
35; 41; 0
35; 42; 0
35; 43; 0
35; 44; 0
35; 45; 0
35; 46; 0
35; 47; 0
35; 48; 0
35; 49; 0
35; 50; 0
35; 51; 0
35; 52; 0
35; 53; 0
35; 54; 0
35; 55; 0
35; 56; 0
35; 57; 0
35; 58; 0
35; 59; 0
35; 60; 0
35; 61; 0
35; 62; 0
35; 63; 0
35; 64; 0
35; 65; 0
36; 0; 0
36; 1; 0
36; 2; 0
36; 3; 0
36; 4; 0
36; 5; 0
36; 6; 0
36; 7; 0
36; 8; 0
36; 9; 0
36; 10; 0
36; 11; 0
36; 12; 0
36; 13; 0
36; 14; 0
36; 15; 0
36; 16; 0
36; 17; 0
36; 18; 0
36; 19; 0
36; 20; 0
36; 21; 0
36; 22; 0
36; 23; 0
36; 24; 0
36; 25; 0
36; 26; 0
36; 27; 0
36; 28; 0
36; 29; 0
36; 30; 0
36; 31; 0
36; 32; 0
36; 33; 0
36; 34; 0
36; 35; 0
36; 36; 0
36; 37; 0
36; 38; 0
36; 39; 0
36; 40; 0
36; 41; 0
36; 42; 0
36; 43; 0
36; 44; 0
36; 45; 0
36; 46; 0
36; 47; 0
36; 48; 0
36; 49; 0
36; 50; 0
36; 51; 0
36; 52; 0
36; 53; 0
36; 54; 0
36; 55; 0
36; 56; 0
36; 57; 0
36; 58; 0
36; 59; 0
36; 60; 0
36; 61; 0
36; 62; 0
36; 63; 0
36; 64; 0
37; 0; 0
37; 1; 0
37; 2; 0
37; 3; 0
37; 4; 0
37; 5; 0
37; 6; 0
37; 7; 0
37; 8; 0
37; 9; 0
37; 10; 0
37; 11; 0
37; 12; 0
37; 13; 0
37; 14; 0
37; 15; 0
37; 16; 0
37; 17; 0
37; 18; 0
37; 19; 0
37; 20; 0
37; 21; 0
37; 22; 0
37; 23; 0
37; 24; 0
37; 25; 0
37; 26; 0
37; 27; 0
37; 28; 0
37; 29; 0
37; 30; 0
37; 31; 0
37; 32; 0
37; 33; 0
37; 34; 0
37; 35; 0
37; 36; 0
37; 37; 0
37; 38; 0
37; 39; 0
37; 40; 0
37; 41; 0
37; 42; 0
37; 43; 0
37; 44; 0
37; 45; 0
37; 46; 0
37; 47; 0
37; 48; 0
37; 49; 0
37; 50; 0
37; 51; 0
37; 52; 0
37; 53; 0
37; 54; 0
37; 55; 0
37; 56; 0
37; 57; 0
37; 58; 0
37; 59; 0
37; 60; 0
37; 61; 0
37; 62; 0
37; 63; 0
38; 0; 0
38; 1; 0
38; 2; 0
38; 3; 0
38; 4; 0
38; 5; 0
38; 6; 0
38; 7; 0
38; 8; 0
38; 9; 0
38; 10; 0
38; 11; 0
38; 12; 0
38; 13; 0
38; 14; 0
38; 15; 0
38; 16; 0
38; 17; 0
38; 18; 0
38; 19; 0
38; 20; 0
38; 21; 0
38; 22; 0
38; 23; 0
38; 24; 0
38; 25; 0
38; 26; 0
38; 27; 0
38; 28; 0
38; 29; 0
38; 30; 0
38; 31; 0
38; 32; 0
38; 33; 0
38; 34; 0
38; 35; 0
38; 36; 0
38; 37; 0
38; 38; 0
38; 39; 0
38; 40; 0
38; 41; 0
38; 42; 0
38; 43; 0
38; 44; 0
38; 45; 0
38; 46; 0
38; 47; 0
38; 48; 0
38; 49; 0
38; 50; 0
38; 51; 0
38; 52; 0
38; 53; 0
38; 54; 0
38; 55; 0
38; 56; 0
38; 57; 0
38; 58; 0
38; 59; 0
38; 60; 0
38; 61; 0
38; 62; 0
39; 0; 0
39; 1; 0
39; 2; 0
39; 3; 0
39; 4; 0
39; 5; 0
39; 6; 0
39; 7; 0
39; 8; 0
39; 9; 0
39; 10; 0
39; 11; 0
39; 12; 0
39; 13; 0
39; 14; 0
39; 15; 0
39; 16; 0
39; 17; 0
39; 18; 0
39; 19; 0
39; 20; 0
39; 21; 0
39; 22; 0
39; 23; 0
39; 24; 0
39; 25; 0
39; 26; 0
39; 27; 0
39; 28; 0
39; 29; 0
39; 30; 0
39; 31; 0
39; 32; 0
39; 33; 0
39; 34; 0
39; 35; 0
39; 36; 0
39; 37; 0
39; 38; 0
39; 39; 0
39; 40; 0
39; 41; 0
39; 42; 0
39; 43; 0
39; 44; 0
39; 45; 0
39; 46; 0
39; 47; 0
39; 48; 0
39; 49; 0
39; 50; 0
39; 51; 0
39; 52; 0
39; 53; 0
39; 54; 0
39; 55; 0
39; 56; 0
39; 57; 0
39; 58; 0
39; 59; 0
39; 60; 0
39; 61; 0
40; 0; 0
40; 1; 0
40; 2; 0
40; 3; 0
40; 4; 0
40; 5; 0
40; 6; 0
40; 7; 0
40; 8; 0
40; 9; 0
40; 10; 0
40; 11; 0
40; 12; 0
40; 13; 0
40; 14; 0
40; 15; 0
40; 16; 0
40; 17; 0
40; 18; 0
40; 19; 0
40; 20; 0
40; 21; 0
40; 22; 0
40; 23; 0
40; 24; 0
40; 25; 0
40; 26; 0
40; 27; 0
40; 28; 0
40; 29; 0
40; 30; 0
40; 31; 0
40; 32; 0
40; 33; 0
40; 34; 0
40; 35; 0
40; 36; 0
40; 37; 0
40; 38; 0
40; 39; 0
40; 40; 0
40; 41; 0
40; 42; 0
40; 43; 0
40; 44; 0
40; 45; 0
40; 46; 0
40; 47; 0
40; 48; 0
40; 49; 0
40; 50; 0
40; 51; 0
40; 52; 0
40; 53; 0
40; 54; 0
40; 55; 0
40; 56; 0
40; 57; 0
40; 58; 0
40; 59; 0
40; 60; 0
41; 0; 0
41; 1; 0
41; 2; 0
41; 3; 0
41; 4; 0
41; 5; 0
41; 6; 0
41; 7; 0
41; 8; 0
41; 9; 0
41; 10; 0
41; 11; 0
41; 12; 0
41; 13; 0
41; 14; 0
41; 15; 0
41; 16; 0
41; 17; 0
41; 18; 0
41; 19; 0
41; 20; 0
41; 21; 0
41; 22; 0
41; 23; 0
41; 24; 0
41; 25; 0
41; 26; 0
41; 27; 0
41; 28; 0
41; 29; 0
41; 30; 0
41; 31; 0
41; 32; 0
41; 33; 0
41; 34; 0
41; 35; 0
41; 36; 0
41; 37; 0
41; 38; 0
41; 39; 0
41; 40; 0
41; 41; 0
41; 42; 0
41; 43; 0
41; 44; 0
41; 45; 0
41; 46; 0
41; 47; 0
41; 48; 0
41; 49; 0
41; 50; 0
41; 51; 0
41; 52; 0
41; 53; 0
41; 54; 0
41; 55; 0
41; 56; 0
41; 57; 0
41; 58; 0
41; 59; 0
42; 0; 0
42; 1; 0
42; 2; 0
42; 3; 0
42; 4; 0
42; 5; 0
42; 6; 0
42; 7; 0
42; 8; 0
42; 9; 0
42; 10; 0
42; 11; 0
42; 12; 0
42; 13; 0
42; 14; 0
42; 15; 0
42; 16; 0
42; 17; 0
42; 18; 0
42; 19; 0
42; 20; 0
42; 21; 0
42; 22; 0
42; 23; 0
42; 24; 0
42; 25; 0
42; 26; 0
42; 27; 0
42; 28; 0
42; 29; 0
42; 30; 0
42; 31; 0
42; 32; 0
42; 33; 0
42; 34; 0
42; 35; 0
42; 36; 0
42; 37; 0
42; 38; 0
42; 39; 0
42; 40; 0
42; 41; 0
42; 42; 0
42; 43; 0
42; 44; 0
42; 45; 0
42; 46; 0
42; 47; 0
42; 48; 0
42; 49; 0
42; 50; 0
42; 51; 0
42; 52; 0
42; 53; 0
42; 54; 0
42; 55; 0
42; 56; 0
42; 57; 0
42; 58; 0
43; 0; 0
43; 1; 0
43; 2; 0
43; 3; 0
43; 4; 0
43; 5; 0
43; 6; 0
43; 7; 0
43; 8; 0
43; 9; 0
43; 10; 0
43; 11; 0
43; 12; 0
43; 13; 0
43; 14; 0
43; 15; 0
43; 16; 0
43; 17; 0
43; 18; 0
43; 19; 0
43; 20; 0
43; 21; 0
43; 22; 0
43; 23; 0
43; 24; 0
43; 25; 0
43; 26; 0
43; 27; 0
43; 28; 0
43; 29; 0
43; 30; 0
43; 31; 0
43; 32; 0
43; 33; 0
43; 34; 0
43; 35; 0
43; 36; 0
43; 37; 0
43; 38; 0
43; 39; 0
43; 40; 0
43; 41; 0
43; 42; 0
43; 43; 0
43; 44; 0
43; 45; 0
43; 46; 0
43; 47; 0
43; 48; 0
43; 49; 0
43; 50; 0
43; 51; 0
43; 52; 0
43; 53; 0
43; 54; 0
43; 55; 0
43; 56; 0
43; 57; 0
44; 0; 0
44; 1; 0
44; 2; 0
44; 3; 0
44; 4; 0
44; 5; 0
44; 6; 0
44; 7; 0
44; 8; 0
44; 9; 0
44; 10; 0
44; 11; 0
44; 12; 0
44; 13; 0
44; 14; 0
44; 15; 0
44; 16; 0
44; 17; 0
44; 18; 0
44; 19; 0
44; 20; 0
44; 21; 0
44; 22; 0
44; 23; 0
44; 24; 0
44; 25; 0
44; 26; 0
44; 27; 0
44; 28; 0
44; 29; 0
44; 30; 0
44; 31; 0
44; 32; 0
44; 33; 0
44; 34; 0
44; 35; 0
44; 36; 0
44; 37; 0
44; 38; 0
44; 39; 0
44; 40; 0
44; 41; 0
44; 42; 0
44; 43; 0
44; 44; 0
44; 45; 0
44; 46; 0
44; 47; 0
44; 48; 0
44; 49; 0
44; 50; 0
44; 51; 0
44; 52; 0
44; 53; 0
44; 54; 0
44; 55; 0
44; 56; 0
45; 0; 0
45; 1; 0
45; 2; 0
45; 3; 0
45; 4; 0
45; 5; 0
45; 6; 0
45; 7; 0
45; 8; 0
45; 9; 0
45; 10; 0
45; 11; 0
45; 12; 0
45; 13; 0
45; 14; 0
45; 15; 0
45; 16; 0
45; 17; 0
45; 18; 0
45; 19; 0
45; 20; 0
45; 21; 0
45; 22; 0
45; 23; 0
45; 24; 0
45; 25; 0
45; 26; 0
45; 27; 0
45; 28; 0
45; 29; 0
45; 30; 0
45; 31; 0
45; 32; 0
45; 33; 0
45; 34; 0
45; 35; 0
45; 36; 0
45; 37; 0
45; 38; 0
45; 39; 0
45; 40; 0
45; 41; 0
45; 42; 0
45; 43; 0
45; 44; 0
45; 45; 0
45; 46; 0
45; 47; 0
45; 48; 0
45; 49; 0
45; 50; 0
45; 51; 0
45; 52; 0
45; 53; 0
45; 54; 0
45; 55; 0
46; 0; 0
46; 1; 0
46; 2; 0
46; 3; 0
46; 4; 0
46; 5; 0
46; 6; 0
46; 7; 0
46; 8; 0
46; 9; 0
46; 10; 0
46; 11; 0
46; 12; 0
46; 13; 0
46; 14; 0
46; 15; 0
46; 16; 0
46; 17; 0
46; 18; 0
46; 19; 0
46; 20; 0
46; 21; 0
46; 22; 0
46; 23; 0
46; 24; 0
46; 25; 0
46; 26; 0
46; 27; 0
46; 28; 0
46; 29; 0
46; 30; 0
46; 31; 0
46; 32; 0
46; 33; 0
46; 34; 0
46; 35; 0
46; 36; 0
46; 37; 0
46; 38; 0
46; 39; 0
46; 40; 0
46; 41; 0
46; 42; 0
46; 43; 0
46; 44; 0
46; 45; 0
46; 46; 0
46; 47; 0
46; 48; 0
46; 49; 0
46; 50; 0
46; 51; 0
46; 52; 0
46; 53; 0
46; 54; 0
47; 0; 0
47; 1; 0
47; 2; 0
47; 3; 0
47; 4; 0
47; 5; 0
47; 6; 0
47; 7; 0
47; 8; 0
47; 9; 0
47; 10; 0
47; 11; 0
47; 12; 0
47; 13; 0
47; 14; 0
47; 15; 0
47; 16; 0
47; 17; 0
47; 18; 0
47; 19; 0
47; 20; 0
47; 21; 0
47; 22; 0
47; 23; 0
47; 24; 0
47; 25; 0
47; 26; 0
47; 27; 0
47; 28; 0
47; 29; 0
47; 30; 0
47; 31; 0
47; 32; 0
47; 33; 0
47; 34; 0
47; 35; 0
47; 36; 0
47; 37; 0
47; 38; 0
47; 39; 0
47; 40; 0
47; 41; 0
47; 42; 0
47; 43; 0
47; 44; 0
47; 45; 0
47; 46; 0
47; 47; 0
47; 48; 0
47; 49; 0
47; 50; 0
47; 51; 0
47; 52; 0
47; 53; 0
48; 0; 0
48; 1; 0
48; 2; 0
48; 3; 0
48; 4; 0
48; 5; 0
48; 6; 0
48; 7; 0
48; 8; 0
48; 9; 0
48; 10; 0
48; 11; 0
48; 12; 0
48; 13; 0
48; 14; 0
48; 15; 0
48; 16; 0
48; 17; 0
48; 18; 0
48; 19; 0
48; 20; 0
48; 21; 0
48; 22; 0
48; 23; 0
48; 24; 0
48; 25; 0
48; 26; 0
48; 27; 0
48; 28; 0
48; 29; 0
48; 30; 0
48; 31; 0
48; 32; 0
48; 33; 0
48; 34; 0
48; 35; 0
48; 36; 0
48; 37; 0
48; 38; 0
48; 39; 0
48; 40; 0
48; 41; 0
48; 42; 0
48; 43; 0
48; 44; 0
48; 45; 0
48; 46; 0
48; 47; 0
48; 48; 0
48; 49; 0
48; 50; 0
48; 51; 0
48; 52; 0
49; 0; 0
49; 1; 0
49; 2; 0
49; 3; 0
49; 4; 0
49; 5; 0
49; 6; 0
49; 7; 0
49; 8; 0
49; 9; 0
49; 10; 0
49; 11; 0
49; 12; 0
49; 13; 0
49; 14; 0
49; 15; 0
49; 16; 0
49; 17; 0
49; 18; 0
49; 19; 0
49; 20; 0
49; 21; 0
49; 22; 0
49; 23; 0
49; 24; 0
49; 25; 0
49; 26; 0
49; 27; 0
49; 28; 0
49; 29; 0
49; 30; 0
49; 31; 0
49; 32; 0
49; 33; 0
49; 34; 0
49; 35; 0
49; 36; 0
49; 37; 0
49; 38; 0
49; 39; 0
49; 40; 0
49; 41; 0
49; 42; 0
49; 43; 0
49; 44; 0
49; 45; 0
49; 46; 0
49; 47; 0
49; 48; 0
49; 49; 0
49; 50; 0
49; 51; 0
50; 0; 0
50; 1; 0
50; 2; 0
50; 3; 0
50; 4; 0
50; 5; 0
50; 6; 0
50; 7; 0
50; 8; 0
50; 9; 0
50; 10; 0
50; 11; 0
50; 12; 0
50; 13; 0
50; 14; 0
50; 15; 0
50; 16; 0
50; 17; 0
50; 18; 0
50; 19; 0
50; 20; 0
50; 21; 0
50; 22; 0
50; 23; 0
50; 24; 0
50; 25; 0
50; 26; 0
50; 27; 0
50; 28; 0
50; 29; 0
50; 30; 0
50; 31; 0
50; 32; 0
50; 33; 0
50; 34; 0
50; 35; 0
50; 36; 0
50; 37; 0
50; 38; 0
50; 39; 0
